id,depDate,depTime,spp,band,sex,age,wt,att_type,xmtr_wt
218,2014/09/17,14:45,MERL,1783-28101,M,HY,160,backpack,3.3
202,2014/09/17,17:25,MERL,0804-06027,F,HY,187,backpack,5.3
203,2014/09/17,18:35,MERL,0804-06028,F,HY,230,backpack,5.7
219,2014/09/17,19:17,MERL,1783-28102,M,HY,157,backpack,3.3
204,2014/09/18,12:35,MERL,0804-06029,F,HY,230,backpack,5.8
205,2014/09/18,13:35,MERL,0804-06030,F,HY,202,backpack,5.6
206,2014/09/18,16:00,MERL,0804-06031,F,HY,201,backpack,5.6
208,2014/09/18,18:15,MERL,0804-06033,F,HY,192,backpack,5.5
221,2014/09/19,13:20,MERL,1783-28105,M,HY,154,backpack,3.2
212,2014/09/19,14:00,MERL,1783-28106,M,HY,166,tail-mount,1.4
213,2014/09/19,15:40,MERL,1783-28107,M,HY,153,tail-mount,1.6
207,2014/09/23,11:20,MERL,0804-06037,F,HY,226,backpack,5.6
209,2014/09/23,15:05,MERL,0804-06040,F,HY,192,backpack,5.5
211,2014/09/23,10:48,MERL,0804-06041,F,HY,210,backpack,5.7
210,2014/09/24,18:10,MERL,0804-06042,F,HY,233,backpack,5.4
187,2014/09/26,11:40,MERL,0804-06044,F,HY,212,backpack,5.6
189,2014/09/26,12:55,MERL,0804-06045,F,HY,207,backpack,5.7
190,2014/09/26,14:05,MERL,0804-06047,F,HY,209,backpack,5.7
217,2014/09/26,15:45,MERL,1783-28109,M,HY,142,backpack,3.2
188,2014/09/26,17:00,MERL,0804-06048,F,HY,197,backpack,5.4
191,2014/09/26,17:53,MERL,0804-06050,F,HY,203,backpack,5.8
192,2014/09/27,15:40,MERL,0804-06053,F,HY,215,backpack,5.9
214,2014/09/27,16:15,MERL,1783-28111,M,HY,160,tail-mount,1.5
215,2014/09/27,17:00,MERL,1783-28112,M,HY,151,tail-mount,1.4
194,2014/09/27,18:05,MERL,0804-06054,F,HY,197,backpack,5.6
216,2014/09/28,10:05,MERL,1783-28113,M,HY,144,tail-mount,1.4
193,2014/09/28,11:30,MERL,0804-06056,F,HY,207,backpack,5.8
195,2014/09/28,14:20,MERL,0804-06057,F,HY,224,backpack,5.5
235,2014/09/29,11:25,MERL,1783-28115,M,HY,160,tail-mount,1.4
236,2014/09/29,18:50,MERL,1783-28116,M,HY,158,tail-mount,1.5
238,2014/09/30,13:30,MERL,1783-28117,M,HY,154,tail-mount,1.5
237,2014/09/30,14:00,MERL,1783-28118,M,HY,145,tail-mount,1.4
185,2014/09/30,15:50,MERL,1783-28119,M,HY,147,backpack,3.8
196,2014/09/30,17:20,MERL,0804-06064,F,HY,227,backpack,5.4
239,2014/10/01,14:35,MERL,1783-28120,M,HY,147,tail-mount,1.5
182,2014/10/02,16:30,MERL,1783-28122,M,HY,155,backpack,3.3
183,2014/10/02,17:50,MERL,1783-28123,M,HY,151,backpack,3.3
184,2014/10/06,15:10,MERL,1783-28128,M,HY,148,backpack,3.2
186,2014/10/06,18:00,MERL,1783-28129,M,HY,155,backpack,3.3
94,2015/09/19,17:35,MERL,0804-06096,F,HY,204,backpack,5.7
95,2015/09/22,18:05,MERL,0804-34564,F,HY,211,backpack,5.9
96,2015/09/23,11:50,MERL,0804-34565,F,HY,221,backpack,5.5
97,2015/09/24,13:20,MERL,0804-34566,F,HY,196,backpack,5.7
162,2015/09/24,15:50,MERL,0804-34568,F,HY,214,backpack,5.9
98,2015/09/25,17:20,MERL,0804-34575,F,HY,203,backpack,5.9
163,2015/09/26,12:55,MERL,0804-34576,F,HY,201,backpack,5.7
164,2015/10/01,15:55,MERL,0804-34579,F,HY,207,backpack,5.8
